,text,polarity
178,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,POSITIVE
179,i hope to feel a bit more creative again soon and miss its presence in my life blog,POSITIVE
181,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,POSITIVE
182,i begin to feel complacent with my life here,POSITIVE
184,i remember feeling inspired and thinking that it was a fine example of parenting,POSITIVE
186,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,POSITIVE
187,im there i simply feel contented,POSITIVE
188,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,POSITIVE
190,i feel honored by it,POSITIVE
191,i was feeling an act of god at work in my life and it was an amazing feeling,POSITIVE
192,i feel im like a bird flying in the air in a very carefree manner,POSITIVE
196,i feel that educating families and supporting and educationg mamas and papas is key,POSITIVE
199,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,POSITIVE
200,i feel like i talented young man i don t feel talented then i don t to work with,POSITIVE
201,i feel curious about all this things around,POSITIVE
202,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,POSITIVE
204,i feel pretty mellow so far about whatever healing wounding process may be getting underway,POSITIVE
208,i seriously feel so blessed for the support that i have at home it s amazing,POSITIVE
211,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,POSITIVE
215,i feel as a child innocent feelings illustrating a,POSITIVE
216,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,POSITIVE
219,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,POSITIVE
221,ive worked really hard all year to try to make each child in the class feel like they are valued,POSITIVE
224,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,POSITIVE
225,i don t feel like eggs benedict i ll have something equally delicious,POSITIVE
226,im feeling my way through and trusting myself,POSITIVE
227,im feeling inspired by all the summery elements of my favorite past time beach bummin,POSITIVE
228,i can feel that she smiled i love you even more gorgeous,POSITIVE
230,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,POSITIVE
231,i can t say i feel all that sympathetic,POSITIVE
232,i was feeling over eager and hopped on to the tube to ride the eye of london,POSITIVE
235,i feel like that s so weird that i had cancer that one time,POSITIVE
236,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,POSITIVE
238,i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,POSITIVE
239,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,POSITIVE
242,i hope i feel mellow well fed well slept at peace with myself within this external world,POSITIVE
245,i feel very relaxed and fine,POSITIVE
247,i go to sleep i feel as if i m giving up precious time to do something else with my life,POSITIVE
248,i feel like i ve been neglecting my beloved mom blog,POSITIVE
249,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,POSITIVE
255,i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,POSITIVE
256,im hesitant to make suggestions because i feel as if the outcome would not be sincere,POSITIVE
257,i feel not too terribly fond of the majority at this precise time,POSITIVE
259,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,POSITIVE
260,i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,POSITIVE
261,i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,POSITIVE
263,i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,POSITIVE
266,i feel like i love everyone or at least i am compassionate toward others,POSITIVE
268,i feel like it just doesnt capture the beauty of this lovely polish,POSITIVE
276,i am so festive this feels so delicious wheeeeee what a great night,POSITIVE
279,i feel like i almost convinced myself this is going to be the pattern,POSITIVE
280,i also wear them when im wearing a dress that makes me feel slutty feels like those antique underwears but obviously a little bit more edgy or maybe a little bit more than a little bit,POSITIVE
284,i feel supportive of him i also cant help but feel jealous,POSITIVE
285,i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,POSITIVE
286,i seriouly feel i am not being respected i dont have my privacy i am being ordered around,POSITIVE
287,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,POSITIVE
289,i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,POSITIVE
291,i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life,POSITIVE
292,i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,POSITIVE
293,im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,POSITIVE
297,i feel loyal to style,POSITIVE
301,i do feel a shift in me to being more positive,POSITIVE
302,i am feeling brave enough,POSITIVE
304,i feel clever nov,POSITIVE
307,i feel kerry didnt do by supporting civil unions and gay equality,POSITIVE
309,i feel to have these amazing people in my life,POSITIVE
310,i finally left feeling judged and ridiculed because i am intelligent,POSITIVE
315,i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits,POSITIVE
316,i go up to her and i say feeling very impressed with myself youre naomi klein right,POSITIVE
318,i suspect feel less than fond in private,POSITIVE
319,i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,POSITIVE
321,i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,POSITIVE
324,im feeling font friendly,POSITIVE
325,i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon,POSITIVE
329,i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them,POSITIVE
330,i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,POSITIVE
331,i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something,POSITIVE
332,im feeling far more mellow than normal,POSITIVE
333,i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way,POSITIVE
334,i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,POSITIVE
335,im feeling lucky width li style border px list style outside margin px px,POSITIVE
336,i recall those high school feelings and the longing with which i watched the olympic runners i feel st,POSITIVE
337,i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues,POSITIVE
340,i am beginning to feel that theres a good chance i might pass,POSITIVE
341,i feel like i have a little more control and can help sweet pea better if i know what is ahead,POSITIVE
343,i feel it is worthwhile to document it for people who are not familiar with batch files,POSITIVE
344,i and i are feeling especially thankful for so many small blessings in our life right now,POSITIVE
345,i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative,POSITIVE
347,i feel a bit funny actually,POSITIVE
348,i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,POSITIVE
349,i am feeling is also a blossoming eager anxiety,POSITIVE
351,i always want nemo by my side and sleeping without her now feels weird even though it doesnt happen often that i get to,POSITIVE
352,im not feeling the outfit but the heels are gorgeous,POSITIVE
354,i feel that the session was useful and gave me tools i need to move forward in my life,POSITIVE
356,i took away all the disappointed feeling all the paining i gave my heart to be heal by lord because he s the only one love who never betrayed never lose loyalty even i didn t loyal to him,POSITIVE
359,i am feeling overwhelmed with the responsibilities of being a teacher that someone is trusting me with their most precious gift and it is an honor,POSITIVE
360,i feel so tranquil right now its great,POSITIVE
366,i will go to my mailbox and talk to the mailman then the grocery clerk etc but no matter how small the step or how limited the risk a complete and total willingness to experience whatever thoughts feelings and sensations emerge is important,POSITIVE
368,i feel like this insecurity is a good thing when i first started writing i pictured it all,POSITIVE
371,i feel tender just now and i am fine with that,POSITIVE
374,i want to love you but i feel like there some sort of hindrance thats keeping me from loving you,POSITIVE
375,i feel is that they are fond of themselves and ok second thought really sensitive to spelled everything here,POSITIVE
376,ill get round to it this quarter im feeling hopeful about this one,POSITIVE
378,i feel absolutely fantastic and i hope baby does too,POSITIVE
379,i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,POSITIVE
381,i have a feeling that your father already convinced him of that,POSITIVE
382,i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,POSITIVE
383,i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors,POSITIVE
384,i am feeling humorous i put cold callers on hold,POSITIVE
386,i feel energized and curious again about life about god about my potential to give something back to society and about finding someone after my heart,POSITIVE
387,i feel very privileged but it is also a lot of work,POSITIVE
388,im pretty happy but a little on the nauseated side to feel thrilled,POSITIVE
390,i bought a virtually fat free thousand islands and feeling very impressed with myself hold large quantities of this substance on the leaves of lettuce and cucumber with my friend but it will be total sugar becomes if you do not burn fat,POSITIVE
392,i feel like im putting an innocent man on death row,POSITIVE
393,i wasn t sure what else to do to help her feel smart,POSITIVE
394,i begin to feel that every waking moment is devoted to work,POSITIVE
395,i feel is thankful for the lessons i m learning,POSITIVE
396,i feel such a longing and sadness when i see families with more children than i have,POSITIVE
397,i feel distinctly called in clermont to focus on these little ones that seem naughty,POSITIVE
398,i hope you can feel glad that she gave you so many things including memories that you can cherish,POSITIVE
400,i feel some of my projects are clever and useful enough i figured i would start sharing them on instructables so i wrote my first one this weekend,POSITIVE
406,im not scared at all anymore im fine i feel terrific about the surgery,POSITIVE
408,i honestly am not sure how i feel stunned,POSITIVE
409,i feel when you are a caring person you attract other caring people into your life,POSITIVE
412,i may or may not have cried when thanking them for making my children feel so special and loved,POSITIVE
413,i really want to go buy some yardage of art gallery just to play with because it feels so amazing,POSITIVE
414,i feel like shes losing her sense of self to adapt to what she thinks he will be loyal to,POSITIVE
417,i feel like i ve been welcomed a tight knit family who ll make sure i won t feel alone ever,POSITIVE
419,i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful,POSITIVE
420,i get some exercise and feel like im doing something worthwhile in the meantime,POSITIVE
421,i feel like my life is very rich and fulfilling but i know people look at the way i live and feel some misplaced pity for me,POSITIVE
422,i feel blessed amazed and yes very excited,POSITIVE
427,i feel quite passionate about as communion is of tremendous importance to me personally and theologically,POSITIVE
428,im feeling happy and well,POSITIVE
430,i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,POSITIVE
432,i were feeling energetic so we decided we were going to bike to the rest of the temples,POSITIVE
434,i am happpy when i get good results in the field of academics or athletics,POSITIVE
436,id pop out of the chair feeling like i should be doing something more worthwhile,POSITIVE
437,i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods,POSITIVE
444,i still feel funny writing that like maybe i should call her my spirit guide or really observant cheerleader or something,POSITIVE
445,i would rather feel nothing than feel this then do not be surprised if you find your life very depressing and grey and unrewarding,POSITIVE
446,i feel very comfortable with this decision,POSITIVE
447,i get really sweaty during these episodes and my stomach will feel really funny like i m free falling,POSITIVE
449,i learnt so much about the wonderful world of beaubronz and feel this lovely tanning brand fits perfectly with my latest mantra stolen from my boudoir lashes mother asma docrat,POSITIVE
451,i didnt feel that welcomed when i first entered morris quickly changed that and i left feeling very happy,POSITIVE
456,i feel so honoured to have hosted this series to have such talented a,POSITIVE
458,i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog,POSITIVE
459,i was feeling determined it didnt take long for me to start nomming on naughty stuff again,POSITIVE
460,i feel honored to be with many wonderful artists and to display my work for the public to see,POSITIVE
461,i just remember being so fully stressed out and while i had fun i feel it could have been more lively,POSITIVE
462,i feel so dazed a href http twitter,POSITIVE
465,im not only thankful that everything seems to be working out as i wrap week at my new job but also feeling pretty lucky to have the people we do in our lives,POSITIVE
468,i had to have a blood test yesterday so perhaps im feeling particularly fond of it right now because of the doctors needle that was inside of me and the time spent with the dizzy head of a non meat eating nineteen year old female,POSITIVE
470,im feeling like life is fairly sweet,POSITIVE
472,i feel like each year i teach i get more passionate about my job find more love for my kids and want to try even harder,POSITIVE
473,im not one of those people who can bury all their feelings and anger just in a second giving out a sweet smile even when in pain and anger,POSITIVE
474,i knew it was the holy spirit at work plus it feels divine in the gooooood way like a massage reassuring me,POSITIVE
475,i feel as though ive reached a point in my career where im highly respected there,POSITIVE
477,ive had a lot of good days where i feel fabulous and have lots of energy but lately ive also had some bad days where i feel gigantic and slow and clumsy,POSITIVE
479,i didnt get a wink of sleep that night and continued feeling not so fabulous the next morning,POSITIVE
481,i love sliding down on a nice big throbbing cock and feeling what my gorgeous body does to a man,POSITIVE
484,im definitely feeling festive,POSITIVE
486,i still feel a little dazed and have that sort of disbelieving feeling of oh my god,POSITIVE
487,i am feeling super excited as the weeks seem to be flying by and we are getting closer and closer to our due date,POSITIVE
488,i have turned that page i feel like there is no way of getting back my irresponcible years of carefree college,POSITIVE
489,i have a few favourites of my own but the choice of book is up to you or you can have a dvd if you are us or uk im feeling generous so the limit is up to which is about something like that,POSITIVE
490,i am feeling more energetic more alive happier than i have in a long time,POSITIVE
493,i feel a world class player in the benzema mould would be fantastic,POSITIVE
497,i am not working out the amount i would like to i feel like my lifestyle change has been successful so far,POSITIVE
498,i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks,POSITIVE
499,i overhear the victory tune on some geeks ringtone i feel triumphant,POSITIVE
504,i feel very passionate about a certain topic i love backing up my position with actual knowledge and facts instead of relying solely on opinions,POSITIVE
506,i feel surprised by how down it makes me,POSITIVE
507,i woke up the morning of our hike feeling jubilant,POSITIVE
508,i feel like a little kid whose mom is proud that they touched the soccer ball once during the game,POSITIVE
511,i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,POSITIVE
513,i know those feelings stem from this part of me that is not accepted mainstream more importantly in the communities to which i seek belongingness,POSITIVE
514,i really like how the special edition really does feel special with songs on it,POSITIVE
515,i feel as if i must blog constantly for all my loyal fans the baker thia sandwich the scruncher and of course mini t rex,POSITIVE
517,i feel your innocent love,POSITIVE
518,i feel like having that sweet carby yet low glycemic meal not just at breakfast but often for dessert,POSITIVE
519,i feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title i could use a standing ovation could you,POSITIVE
520,i really lose a lot of my nesting homemaking instinct and desire when i am pregnant and the longer im pregnant the worse it gets though i do get about a month reprieve where i feel creative again around the six month mark and youll notice that is when i did a post for halloween,POSITIVE
521,i feel as if this opportunity to return to moz is gods gracious gracious way of giving me that heat desire despite my own self doubt and uncertainty in the past,POSITIVE
522,i feel really lucky to have found you as a resource and have always felt the answers i needed were there for the asking,POSITIVE
523,i keep running up the hill and fitness wise feel fine but along with my foot my calves are starting to now hurt also as they begin to tire,POSITIVE
525,i supposed i ought to feel thankful for that adding with a sarcastic edge at my age,POSITIVE
531,i just think about all the day i chatted with my mom amp also feeling horny and masturbate myself,POSITIVE
535,i dont know why but i had started to feel the weird pressure of a largely silent audience and with it a falsely inflated sense of importance in expressing myself and my ever so articulate opinions to said audience,POSITIVE
539,i love comments so feel free to post one,POSITIVE
541,i truly feel that they do a lot of positive things to help the conditions for the workers and their families kids,POSITIVE
548,i had been indifferent to tell the feelings and words i had treasured ever since the feeling start to bloom are one of the moments i want to keep,POSITIVE
549,i feel hes being very casual with my entire future,POSITIVE
550,i was still feeling strong but i missed a couple lifts,POSITIVE
552,i checked on you was a long time ago i can say you were happy way back then feeling contented with everyone and everything around you,POSITIVE
553,i write him when something big has happened like a fun trip or milestone and other times i just write him to tell him how im feeling about his sweet baby snuggles or growing personality,POSITIVE
554,i hate the expectation that i must need a man in my life to feel worthwhile or valued,POSITIVE
555,i did feel that loving kindness allow us to think and feel how our conscious and how we interact with various things in the body and mind,POSITIVE
556,i feel completely blessed to be a part of this group,POSITIVE
557,im the type who doesnt use a moisturizer as my skin is too oily so this product is designed to contain a ton of moisturizing ingredients that will make my skin feel lovely without oils,POSITIVE
558,im afraid im in an environment that makes me feel more relaxed cause,POSITIVE
559,i am feeling overwhelmed i want to physically shake everything off me the way i would if there was a spider in my shirt,POSITIVE
565,i have been feeling conflicted on whether or not i as a follower of christ should celebrate the ever popular pagan originated modern day holidays,POSITIVE
567,i feel carefree and weightless and yet worried and grounded all at the same time,POSITIVE
568,i feel he is sincere and repentant for his past opposition to civil rights,POSITIVE
570,i only have a few things on my list i feel super guilty and can t relax,POSITIVE
572,i feel like i am really valuable to him,POSITIVE
576,i still wake up every morning feeling so blessed to be here and unable to believe im lucky enough to be able to call this amazing family mine for life,POSITIVE
577,i feel as if the leaders of countries do not depict the people of their countries because for the love of god i hope no one thought at all i was in any way supportive or like george w,POSITIVE
578,i was feeling really horny all afternoon with no one to fulfill ma sexual desire and only had my bed and creative thoughts to help me out and not forgetting my handss which aahhh work like magic,POSITIVE
587,i got a feeling by the look in her eyes that she was sincere,POSITIVE
588,i feel assured that my mind is not one,POSITIVE
598,i am so feeling so rich and yup i know i am so blessed,POSITIVE
603,i cant believe the moment where i feel the most useful is when im washing the dishes,POSITIVE
607,i admire athleticism i feel like i would be more entertained if i got to watch severely out of shape people participate in olympic events,POSITIVE
611,i feel like they take time to care for their flowers and are wonderfully loyal to their hive,POSITIVE
612,i remember feeling amazed,POSITIVE
613,i know that i will never see this place again and that would break my heart had not a thick layer of moss encased it in a thick shell muffling all other sharper feelings pleasant or painful,POSITIVE
614,i am a nameless mid s bottom law school graduate who finds himself marginally attached and awash in a sea of overeducated but underpaid indentured peers who feel and were duped by the promise of a better life through debt and modern chemistry,POSITIVE
615,i truly feel what you all contribute to the blog world especially with regard to educating writers is so valuable,POSITIVE
616,i feel like it would be too clever and get into a ton of things all the time,POSITIVE
617,i know shes right because i feel more energetic awake patient and happy when im running daily but i still feel a little bad too because i believe breast milk is so much better for babies than formula,POSITIVE
620,i love the discussions in the class and feel passionate about feminist issues but when i go to write it down it feels as though i am faking it,POSITIVE
623,i feel so honored that students come to my classes,POSITIVE
624,i often tell him that i want attention from him especially when i feel horny and want to have good sex for hours,POSITIVE
625,i get an anxious feeling i feel xox soon itll be the real thing already so i need to be flawless,POSITIVE
626,i feel very rich very blessed very joyful,POSITIVE
635,im feeling rather pleased with myself tonight because i did that,POSITIVE
636,i feel like this leads me to be not as gentle and kind as i should be,POSITIVE
640,i feel so carefree nowwwwww,POSITIVE
645,i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,POSITIVE
649,i feel about strange brew,POSITIVE
651,i want to have a job where i am permanent and where i feel like i am valued,POSITIVE
652,i care about someones emotional spiritual and intellectual progress to the point where i feel like i should exert myself in that progress and its important to me that is love,POSITIVE
653,i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress,POSITIVE
654,i learned about different things like how family plan the arrangements and even how real the pain can feel when a loved one passes on,POSITIVE
656,i like keeping a record of my life in written form and pictures and i feel like that is even more important now that i have baby,POSITIVE
659,i feel more than honoured to be part of this series and join all these wonderful and talented ladies in a celebration of the womanhood,POSITIVE
660,i feel more confident about this team right now than i did four hours ago,POSITIVE
663,i feel have a fabulous birding weekend everyone,POSITIVE
668,i feel the language of the warning is pretty benign but i am open to your suggestions on how to improve it,POSITIVE
670,i suddenly feel a lot smarter and more talented than i did last night,POSITIVE
671,i get into what it actually does i feel like everyone should buy it just because it smells amazing,POSITIVE
672,i feel as though i cant bear the motion of quilting it even though the idea of it delighted me so only a few days ago,POSITIVE
676,i refers of course though i cant help feeling somehow ironically in retrospect to loudons son with kate mcgarrigle the rather talented himself rufus wainwright,POSITIVE
678,i feel like i captured all his sweet looks,POSITIVE
680,i feel like i need cute pictures to share,POSITIVE
685,i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money,POSITIVE
686,i guess im feeling generous today and so i have decided to offer a fabulous deal on of my most popular prints at the moment,POSITIVE
688,i feel tender and disoriented,POSITIVE
689,i am feeling really carefree and today was really carefree,POSITIVE
